Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
28,11572,species,Northern Flicker,Colaptes auratus,1,"Hermit Trail, Grand Canyon Village, Arizona, US (36.082, -112.213)",US-AZ,12 Mar 2023,L23119303,S131268476,,1
29,4102,species,White-throated Swift,Aeronautes saxatalis,2,"Hermit Trail, Grand Canyon Village, Arizona, US (36.082, -112.213)",US-AZ,12 Mar 2023,L23119303,S131268476,,1
30,33831,species,Pyrrhuloxia,Cardinalis sinuatus,,Whitewater Draw WA,US-AZ,04 Feb 2023,L168765,S127713267,,1
31,31227,species,American Pipit,Anthus rubescens,,Whitewater Draw WA,US-AZ,04 Feb 2023,L168765,S127713267,,1
32,27553,species,Mountain Bluebird,Sialia currucoides,,Whitewater Draw WA,US-AZ,04 Feb 2023,L168765,S127713267,,1
33,26755,species,Marsh Wren,Cistothorus palustris,,Whitewater Draw WA,US-AZ,04 Feb 2023,L168765,S127713267,,1
34,16604,species,Vermilion Flycatcher,Pyrocephalus rubinus,,Whitewater Draw WA,US-AZ,04 Feb 2023,L168765,S127713267,,1
35,8336,species,Barn Owl,Tyto alba,,Whitewater Draw WA,US-AZ,04 Feb 2023,L168765,S127713267,,1
36,7873,species,Northern Harrier,Circus hudsonius,,Whitewater Draw WA,US-AZ,04 Feb 2023,L168765,S127713267,,1
37,6045,species,Western Sandpiper,Calidris mauri,,Whitewater Draw WA,US-AZ,04 Feb 2023,L168765,S127713267,,1
38,6035,species,Least Sandpiper,Calidris minutilla,,Whitewater Draw WA,US-AZ,04 Feb 2023,L168765,S127713267,,1
39,5626,species,Sandhill Crane,Antigone canadensis,,Whitewater Draw WA,US-AZ,04 Feb 2023,L168765,S127713267,,1
40,5372,species,Sora,Porzana carolina,,Whitewater Draw WA,US-AZ,04 Feb 2023,L168765,S127713267,,1
41,451,species,Cinnamon Teal,Spatula cyanoptera,,Whitewater Draw WA,US-AZ,04 Feb 2023,L168765,S127713267,,1
42,256,species,Ross's Goose,Anser rossii,,Whitewater Draw WA,US-AZ,04 Feb 2023,L168765,S127713267,,1
43,16585,species,Say's Phoebe,Sayornis saya,1,"Vía sin nombre, Sonora, MX (32.046, -114.914)",MX-SON,05 Jan 2023,L22086095,S125499348,,1
44,6086,species,Wilson's Snipe,Gallinago delicata,2,"Vía sin nombre, Sonora, MX (32.046, -114.914)",MX-SON,05 Jan 2023,L22086095,S125499348,,1
45,5706,species,American Avocet,Recurvirostra americana,10,"Vía sin nombre, Sonora, MX (32.046, -114.914)",MX-SON,05 Jan 2023,L22086095,S125499348,,1
46,1813,species,Pied-billed Grebe,Podilymbus podiceps,2,"Vía sin nombre, Sonora, MX (32.046, -114.914)",MX-SON,05 Jan 2023,L22086095,S125499348,,1
47,689,species,Bufflehead,Bucephala albeola,15,"Vía sin nombre, Sonora, MX (32.046, -114.914)",MX-SON,05 Jan 2023,L22086095,S125499348,,1
48,563,species,Green-winged Teal,Anas crecca,20,"Vía sin nombre, Sonora, MX (32.046, -114.914)",MX-SON,05 Jan 2023,L22086095,S125499348,,1
49,468,species,Gadwall,Mareca strepera,29,"Vía sin nombre, Sonora, MX (32.046, -114.914)",MX-SON,05 Jan 2023,L22086095,S125499348,,1
