Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
79,4846,species,White-eared Hummingbird,Basilinna leucotis,1,Paradise--George Walker House,US-AZ,19 Aug 2023,L320213,S147660200,,1
80,21586,species,Mexican Chickadee,Poecile sclateri,2,Pinery Canyon,US-AZ,19 Aug 2023,L129056,S147659804,,1
81,18736,species,Hutton's Vireo,Vireo huttoni,1,Pinery Canyon,US-AZ,19 Aug 2023,L129056,S147659804,,1
82,16565,species,Buff-breasted Flycatcher,Empidonax fulvifrons,1,Pinery Canyon,US-AZ,19 Aug 2023,L129056,S147659804,,1
83,6133,species,Lesser Yellowlegs,Tringa flavipes,,Willcox--Lake Cochise and Twin Lakes Golf Course,US-AZ,18 Aug 2023,L266875,S147659695,,1
84,6110,species,Wilson's Phalarope,Phalaropus tricolor,,Willcox--Lake Cochise and Twin Lakes Golf Course,US-AZ,18 Aug 2023,L266875,S147659695,,1
85,7850,species,Mississippi Kite,Ictinia mississippiensis,2,Paton Center for Hummingbirds (Patons' Yard),US-AZ,13 Aug 2023,L247122,S147202081,,1
86,15664,species,Rose-throated Becard,Pachyramphus aglaiae,2,De Anza Trail--Tubac,US-AZ,25 Jun 2023,L234314,S142681431,,1
87,16469,species,Greater Pewee,Contopus pertinax,1,Mt. Lemmon--Marshall Gulch,US-AZ,19 May 2023,L267654,S138437456,,1
88,30052,species,Olive Warbler,Peucedramus taeniatus,2,Mt. Lemmon--upper,US-AZ,19 May 2023,L127970,S138437723,,1
89,423,species,Wood Duck,Aix sponsa,2,Reid Park,US-AZ,19 Mar 2023,L227274,S131359488,,1
90,8134,species,Common Black Hawk,Buteogallus anthracinus,8,Ron Morriss Park,US-AZ,18 Mar 2023,L993428,S131268261,,1
91,31227,species,American Pipit,Anthus rubescens,,Whitewater Draw WA,US-AZ,04 Feb 2023,L168765,S131333487,,1
92,8336,species,Barn Owl,Tyto alba,,Whitewater Draw WA,US-AZ,04 Feb 2023,L168765,S131333487,,1
93,6045,species,Western Sandpiper,Calidris mauri,,Whitewater Draw WA,US-AZ,04 Feb 2023,L168765,S131333487,,1
